facebook.com,173.252.120.68
youtube.com,216.58.217.46
yahoo.com,98.139.183.24
live.com,65.55.206.154
wikipedia.org,208.80.153.224
msn.com,23.101.196.141
baidu.com,180.149.132.47
blogspot.com,173.194.196.191
microsoft.com,23.100.122.175
qq.com,61.135.157.156
taobao.com,140.205.220.96
bing.com,204.79.197.200
sina.com.cn,202.108.33.60
soso.com,106.120.151.169
163.com,123.58.180.7
ask.com,66.235.120.127
adobe.com,192.150.16.117
twitter.com,199.59.149.198
mozilla.com,63.245.213.24
youku.com,123.126.99.31
sdjjdsaf.com,
andysayler.com,162.243.49.20
wmfo.org,23.92.21.128
